Movie Name,Name,Year
DO RAHA (1971),DO RAHA,1971
DO RANGI DUNIYA (1933),DO RANGI DUNIYA,1933
DO ROTI (1957),DO ROTI,1957
DO SHATRU (1980),DO SHATRU,1980
DO SHIKARI (1979),DO SHIKARI,1979
DO SITARE (1951),DO SITARE,1951
DO THUG (1975),DO THUG,1975
DO USTAAD (1959),DO USTAAD,1959
DO USTAAD (1982),DO USTAAD,1982
DO YAAR (1972),DO YAAR,1972
DOCTOR (1941),DOCTOR,1941
DOCTOR-X (1972),DOCTOR-X,1972
DOLI (1947),DOLI,1947
DOLI (1969),DOLI,1969
DOLI SAJA KE RAKHNA (1998),DOLI SAJA KE RAKHNA,1998
DOLTI NAIYA (1950),DOLTI NAIYA,1950
DON (1978),DON,1978
DACOIT (1987),DACOIT,1987
DOODH KA KARZ (1990),DOODH KA KARZ,1990
DOOJ KA CHAND (1964),DOOJ KA CHAND,1964
DOOR DESH (1986),DOOR DESH,1986
DOOR DOOR PAAS PAAS (1987),DOOR DOOR PAAS PAAS,1987
DOOR GAGAN KI CHHAON MEIN (1964),DOOR GAGAN KI CHHAON MEIN,1964
DOOR KA RAAHI (1971),DOOR KA RAAHI,1971
DOOR KI AWAAZ (1964),DOOR KI AWAAZ,1964
DOOR NAHIN MANZIL (1973),DOOR NAHIN MANZIL,1973
DOOR WADIYON MEIN KAHIN(1982),DOOR WADIYON MEIN KAHIN,1982
DOORIYAN (1981),DOORIYAN,1981
DOOSRA AADMI (1977),DOOSRA AADMI,1977
DOOSRI DULHAN (1983),DOOSRI DULHAN,1983
DOOSRI SHAADI (1947),DOOSRI SHAADI,1947
DOOSRI SITA (1974),DOOSRI SITA,1974
DOST (1944),DOST,1944
DOST (1954),DOST,1954
DOST (1974),DOST,1974
DOST (1989),DOST,1989
DOST AUR DUSHMAN (1971),DOST AUR DUSHMAN,1971
DOST GARIBON KA (1989),DOST GARIBON KA,1989
DOSTANA (1980),DOSTANA,1980
DOSTI (1946),DOSTI,1946
DOSTI (1964),DOSTI,1964
DOSTI DUSHMANI (1986),DOSTI DUSHMANI,1986
DOSTI KI SAUGANDH (1993),DOSTI KI SAUGANDH,1993
DOUBLE CROSS (1972),DOUBLE CROSS,1972
DOZAKH (1987),DOZAKH,1987
DR. KOTNIS KI AMAR KAHANI (1946),DR. KOTNIS KI AMAR KAHANI,1946
DR. SHAITAN (1960),DR. SHAITAN,1960
DR.VIDYA (1962),DR.VIDYA,1962
DR.Z (1959),DR.Z,1959
DRAUPADI VASTRA HARAN (1952),DRAUPADI VASTRA HARAN,1952
DREAM GIRL (1977),DREAM GIRL,1977
DRISHTI (1991),DRISHTI,1991
DROHI(1992),DROHI,1992
DROHKAAL (1995),DROHKAAL,1995
DUKH DARD (1988),DUKH DARD,1988
DULARA (1994),DULARA,1994
DULARI (1949),DULARI,1949
DULHA BIKTA HAI (1982),DULHA BIKTA HAI,1982
DULHA DULHAN (1964),DULHA DULHAN,1964
DULHAN (1958),DULHAN,1958
DULHAN (1974),DULHAN,1974
DULHAN EK RAAT KI (1966),DULHAN EK RAAT KI,1966
DULHAN HUM LE JAYENGE (2000),DULHAN HUM LE JAYENGE,2000
DULHAN WOHI JO PIYA MAN BHAYE (1979),DULHAN WOHI JO PIYA MAN BHAYE,1979
DULHE RAJA (1998),DULHE RAJA,1998
DUNIYA (1949),DUNIYA,1949
DUNIYA (1968),DUNIYA,1968
DUNIYA (1984),DUNIYA,1984
DUNIYA GOL HAI (1955),DUNIYA GOL HAI,1955
DUNIYA HAI DILWALON KI (1966),DUNIYA HAI DILWALON KI,1966
DUNIYA JHUKTI HAI (1960),DUNIYA JHUKTI HAI,1960
DUNIYA JHUKTI HAI (1996),DUNIYA JHUKTI HAI,1996
DUNIYA KA MELA (1974),DUNIYA KA MELA,1974
DUNIYA KYA JANE (1971),DUNIYA KYA JANE,1971
DUNIYA MERI JEB MEIN (1979),DUNIYA MERI JEB MEIN,1979
DUNIYA NA MANE (1959),DUNIYA NA MANE,1959
DUNIYA NACHE GI (1967),DUNIYA NACHE GI,1967
DUNIYA RANG RANGILI (1957),DUNIYA RANG RANGILI,1957
DUNIYADARI (1977),DUNIYADARI,1977
DUPLICATE (1998),DUPLICATE,1998
DURGA (1939),DURGA,1939
DURGA (1985),DURGA,1985
DURGA MAA (1986),DURGA MAA,1986
DURGA MATA (1960),DURGA MATA,1960
DURGA POOJA (1962),DURGA POOJA,1962
DURGAPOOJA (1954),DURGAPOOJA,1954
DURGESH NANDINI (1956),DURGESH NANDINI,1956
DUS NUMBRI (1976),DUS NUMBRI,1976
DUSHMAN (1939),DUSHMAN,1939
DUSHMAN (1957),DUSHMAN,1957
DUSHMAN (1988),DUSHMAN,1988
DUSHMAN (1998),DUSHMAN,1998
DUSHMAN DEVTA (1991),DUSHMAN DEVTA,1991
DUSHMAN DUNIYA KA (1996),DUSHMAN DUNIYA KA,1996
DUSHMAN ZAMANA (1992),DUSHMAN ZAMANA,1992
DUSHMANI (1950),DUSHMANI,1950
DUSHMANI (1996),DUSHMANI,1996
DUSHMANON KA DUSHMAN (1984),DUSHMANON KA DUSHMAN,1984
DUSLAKH (1966),DUSLAKH,1966
DUTY (1966),DUTY,1966
DUVIDHA (1979),DUVIDHA,1979
DWARKADHEESH (1956),DWARKADHEESH,1956
EENA MEENA DEEKA (1994),EENA MEENA DEEKA,1994
EENT KA JAWAB PATTHAR (1982),EENT KA JAWAB PATTHAR,1982
EESHWAR (1989),EESHWAR,1989
EHSAN (1970),EHSAN,1970
EHSAN(1954),EHSAN,1954
EIGHT DAYS (1946),EIGHT DAYS,1946
EIGHTEEN FIFTY SEVEN (1857)(1946),EIGHTEEN FIFTY SEVEN (1857),1946
EK ADHURI KAHANI (1971),EK ADHURI KAHANI,1971
EK ANARI DO KHILADI (1996),EK ANARI DO KHILADI,1996
EK ARMAN MERA (1959),EK ARMAN MERA,1959
EK AUR EK GYARAH (1981),EK AUR EK GYARAH,1981
EK AUR KHOON (1987),EK AUR KHOON,1987
EK AUR SANGRAM (1982),EK AUR SANGRAM,1982
EK AUR SIKANDER (1986),EK AUR SIKANDER,1986
EK BAAP CHHE BETE (1978),EK BAAP CHHE BETE,1978
EK BAAR CHALE AAO (1983),EK BAAR CHALE AAO,1983
EK BAAR KAHO (1980),EK BAAR KAHO,1980
EK BAAR MUSKURA DO (1972),EK BAAR MUSKURA DO,1972
EK BAAR PHIR (1980),EK BAAR PHIR,1980
EK BABY TEEN BADMASH (1995),EK BABY TEEN BADMASH,1995
EK BECHARA (1972),EK BECHARA,1972
EK CHADAR MAILI SI (1986),EK CHADAR MAILI SI,1986
EK CHITTHI PYAR BHARI (1985),EK CHITTHI PYAR BHARI,1985
EK DAKU SHAHER MEIN (1985),EK DAKU SHAHER MEIN,1985
EK DIL SAU AFSANE (1963),EK DIL SAU AFSANE,1963
EK DIN AADHI RAAT (1971),EK DIN AADHI RAAT,1971
EK DIN ACHANAK (1990),EK DIN ACHANAK,1990
EK DIN BAHU KA (1984),EK DIN BAHU KA,1984
EK DIN KA BADSHAH (1964),EK DIN KA BADSHAH,1964
EK DO TEEN (1953),EK DO TEEN,1953
EK DOCTOR KI MAUT (1991),EK DOCTOR KI MAUT,1991
EK DUJE KE LIYE (1981),EK DUJE KE LIYE,1981
EK GAON KI KAHANI (1957),EK GAON KI KAHANI,1957
EK GAON KI KAHANI (1975),EK GAON KI KAHANI,1975
EK GHAR (1991),EK GHAR,1991
EK GUNAH AUR SAHI (1980),EK GUNAH AUR SAHI,1980
EK HANS KA JODA( 1975),EK HANS KA JODA(,1975
EK HANS KA JODA( 1975),EK HANS KA JODA(,1975
EK HI BHOOL (1981),EK HI BHOOL,1981
EK HI MAQSAD (1988),EK HI MAQSAD,1988
EK HI RAASTA (1956),EK HI RAASTA,1956
EK HI RAASTA (1982),EK HI RAASTA,1982
EK HI RASTA (1993),EK HI RASTA,1993
EK JAAN HAI HUM (1983),EK JAAN HAI HUM,1983
EK JHALAK (1957),EK JHALAK,1957
EK KALI MUSKAI (1968),EK KALI MUSKAI,1968
EK KE BAAD EK (1960),EK KE BAAD EK,1960
EK KHILARI BAWAN PATTEY (1973),EK KHILARI BAWAN PATTEY,1973
EK KUNWARI EK KUNWARA (1973),EK KUNWARI EK KUNWARA,1973
EK LADKA EK LADKI (1992),EK LADKA EK LADKI,1992
EK LADKI SAAT LADKE (1961),EK LADKI SAAT LADKE,1961
EK MAHAL HO SAPNON KA (1975),EK MAHAL HO SAPNON KA,1975
EK MAIN AUR EK TU (1986),EK MAIN AUR EK TU,1986
EK MASOOM (1969),EK MASOOM,1969
EK MISAAL (1986),EK MISAAL,1986
EK MUSAFIR EK HASINA (1962),EK MUSAFIR EK HASINA,1962
EK MUTHI ASMAAN (1973),EK MUTHI ASMAAN,1973
EK NAI LADKI (1949),EK NAI LADKI,1949
EK NAI PAHELI (1984),EK NAI PAHELI,1984
EK NANHI MUNNI LADKI THI (1970),EK NANHI MUNNI LADKI THI,1970
EK NARI DO ROOP (1973),EK NARI DO ROOP,1973
EK NARI EK BRAHMACHARI (1971),EK NARI EK BRAHMACHARI,1971
EK NAYA ITIHAAS (1984),EK NAYA ITIHAAS,1984
EK NAYA RISHTA (1988),EK NAYA RISHTA,1988
EK NAZAR (1951),EK NAZAR,1951
EK NAZAR (1972),EK NAZAR,1972
EK NUMBER KA CHOR (1990),EK NUMBER KA CHOR,1990
EK PAHELI (1971),EK PAHELI,1971
EK PAL (1986),EK PAL,1986
EK PHOOL CHAR KANTE (1960),EK PHOOL CHAR KANTE,1960
EK PHOOL DO MALI (1969),EK PHOOL DO MALI,1969
EK PHOOL EK BHOOL (1968),EK PHOOL EK BHOOL,1968
EK PHOOL TEEN KANTE (1997),EK PHOOL TEEN KANTE,1997
EK RAAT (1967),EK RAAT,1967
EK RAAZ (1963),EK RAAZ,1963
EK RUKA HUA FAISLA (1986),EK RUKA HUA FAISLA,1986
EK SAAL (1957),EK SAAL,1957
EK SAAL PEHLE (1965),EK SAAL PEHLE,1965
EK SAPERA EK LUTERA (1965),EK SAPERA EK LUTERA,1965
EK SE BADHKER EK (1976),EK SE BADHKER EK,1976
EK SE BHALE DO (1985),EK SE BHALE DO,1985
EK SHOLA (1958),EK SHOLA,1958
EK SHRIMAN EK SHRIMATI (1969),EK SHRIMAN EK SHRIMATI,1969
EK TERI NISHANI (1949),EK TERI NISHANI,1949
EK THA ALIBABA (1963),EK THA ALIBABA,1963
EK THA LADKA (1951),EK THA LADKA,1951
EK THA RAJA (1951),EK THA RAJA,1951
EK THA RAJA (1996),EK THA RAJA,1996
EK THI LADKI (1949),EK THI LADKI,1949
EK THI REETA (1971),EK THI REETA,1971
EKADASHI (1955),EKADASHI,1955
EKKA RAJA RANI (1994),EKKA RAJA RANI,1994
ELAAN (1947),ELAAN,1947
ELAAN (1971),ELAAN,1971
ELAAN (1994),ELAAN,1994
ELAAN-E-JUNG(1989),ELAAN-E-JUNG,1989
ELEPHANT QUEEN (1961),ELEPHANT QUEEN,1961
ENGLISH BABU DESI MEM (1996),ENGLISH BABU DESI MEM,1996
FAASLE (1985),FAASLE,1985
FAISLA (1965),FAISLA,1965
FAKIR BADSHAH (1987),FAKIR BADSHAH,1987
FAKIRA (1976),FAKIRA,1976
FALAK (1988),FALAK,1988
FARAAR (1955),FARAAR,1955
FARAAR (1965),FARAAR,1965
FARAAR (1975),FARAAR,1975
FARAAR QUAIDI ( ),FARAAR QUAI,I ( 
FAREB (1953),FAREB,1953
FAREB (1968),FAREB,1968
FAREB (1983),FAREB,1983
FAREB (1996),FAREB,1996
FARISHTA (1958),FARISHTA,1958
FARISHTA (1968),FARISHTA,1968
FARISHTA (1984),FARISHTA,1984
FARISHTA YA QATIL (1977),FARISHTA YA QATIL,1977
FARISHTAY (1991),FARISHTAY,1991
FARIYAAD (1964),FARIYAAD,1964
FARMAISH (1953),FARMAISH,1953
FARYADI (1953),FARYADI,1953
FARZ (1967),FARZ,1967
FARZ AUR KANOON (1982),FARZ AUR KANOON,1982
FARZ KI JUNG (1990),FARZ KI JUNG,1990
FARZ KI KEEMAT (1984),FARZ KI KEEMAT,1984
FASHION (1959),FASHION,1959
FASHIONABLE INDIA (1935),FASHIONABLE INDIA,1935
FASHIONABLE WIFE (1959),FASHIONABLE WIFE,1959
FASLAH (1976),FASLAH,1976
FATEH (1991),FATEH,1991
FAUJ (1994),FAUJ,1994
FAUJI (1976),FAUJI,1976
FAUJI (1995),FAUJI,1995
FAULAD (1963),FAULAD,1963
FAULADI MUKKA (1965),FAULADI MUKKA,1965
FAULADI MUKKA (1985),FAULADI MUKKA,1985
FERRY (1954),FERRY,1954
FIFTEENTH (15TH) AUGUST (1993),FIFTEENTH (15TH) AUGUST,1993
FIFTY FIFTY (1956),FIFTY FIFTY,1956
FIFTY FIFTY (1981),FIFTY FIFTY,1981
FIGHTING QUEEN (1956),FIGHTING QUEEN,1956
FILM HI FILM (1983),FILM HI FILM,1983
FIRDAUS (1953),FIRDAUS,1953
FIRE (1998),FIRE,1998
FIRST LOVE (1961),FIRST LOVE,1961
FIRST LOVE LETTER (1991),FIRST LOVE LETTER,1991
FIVE RIFLES (1974),FIVE RIFLES,1974
FLAT NO. 9 (1961),FLAT NO. 9,1961
FLYING CIRCUS (1965),FLYING CIRCUS,1965
FLYING HORSE (1963),FLYING HORSE,1963
FLYING MAN (1955),FLYING MAN,1955
FLYING RANI (1959),FLYING RANI,1959
FOOTPATH (1953),FOOTPATH,1953
FOR LADIES ONLY (1951),FOR LADIES ONLY,1951
FORTY DAYS (1959),FORTY DAYS,1959
FREE LOVE (1974),FREE LOVE,1974
FUJILAMA (1954),FUJILAMA,1954
FUNTOOSH (1956),FUNTOOSH,1956
GAAL GULABI MAIN SHARABI (1974),GAAL GULABI MAIN SHARABI,1974
GAALI (1944),GAALI,1944
GABAN (1966),GABAN,1966
GADDAR (1973),GADDAR,1973
GADDAR (1995),GADDAR,1995
GAI AUR GAURI (1973),GAI AUR GAURI,1973
GAIR KANOONI (1989),GAIR KANOONI,1989
GAJ GAURI (1958),GAJ GAURI,1958
GAJRE (1948),GAJRE,1948
GALIYON KA BADSHAH (1989),GALIYON KA BADSHAH,1989
GALIYON KA GUNDA (1985),GALIYON KA GUNDA,1985
GAMAN (1979),GAMAN,1979
GAMBLER (1960),GAMBLER,1960
GAMBLER (1971),GAMBLER,1971
GAMBLER (1995),GAMBLER,1995
GAME (1993),GAME,1993
GANDE LOG (1995),GANDE LOG,1995
GANDHI (1983),GANDHI,1983
GANG (2000),GANG,2000
GANGA AUR RANGA (1994),GANGA AUR RANGA,1994
GANGA AUR SURAJ (1980),GANGA AUR SURAJ,1980
GANGA BANI SHOLA (1992),GANGA BANI SHOLA,1992
GANGA DHAM (1980),GANGA DHAM,1980
GANGA JAMUNA (1961),GANGA JAMUNA,1961
GANGA JAMUNA Kl LALKAAR (1991),GANGA JAMUNA Kl LALKAAR,1991
GANGA JAMUNA SARASWATI (1988),GANGA JAMUNA SARASWATI,1988
GANGA KAVACHAN (1992),GANGA KAVACHAN,1992
Ganga Ki Kasam (1999),Ganga Ki Kasam,1999
GANGA KI LAHREN (1964),GANGA KI LAHREN,1964
GANGA KI SAUGANDH (1978),GANGA KI SAUGANDH,1978
GANGA MAANGE KHOON (1997),GANGA MAANGE KHOON,1997
GANGA MAIYYA (1955),GANGA MAIYYA,1955
GANGA MANG RAHI BALIDAN (1981),GANGA MANG RAHI BALIDAN,1981
GANGA MERI MAA (1982),GANGA MERI MAA,1982
GANGA SAGAR (1978),GANGA SAGAR,1978
GANGA TERA PANI AMRIT (1971),GANGA TERA PANI AMRIT,1971
GANGA TERE DESH MEIN (1988),GANGA TERE DESH MEIN,1988
GANGADHAM (1980),GANGADHAM,1980
GANGAPUR KI GEETA (1994),GANGAPUR KI GEETA,1994
GANGSTER (1995),GANGSTER,1995
GANGU DADA (1962),GANGU DADA,1962
GANGVA (1984),GANGVA,1984
GANWAAR (1970),GANWAAR,1970
GAON (1947],GAON,1947
GAON HAMARA SHEHAR TUMHARA (1972),GAON HAMARA SHEHAR TUMHARA,1972
GARAM JAWANI (1990),GARAM JAWANI,1990
GARAM KHOON (1980),GARAM KHOON,1980
GARAM KOT (1955),GARAM KOT,1955
GARAM MASALA (1972),GARAM MASALA,1972
GARDISH (1993),GARDISH,1993
GARIBI (19491,GARIBI,1949
GARIBI HATAO (1973),GARIBI HATAO,1973
GARIBON KA DAATA (1989),GARIBON KA DAATA,1989
GARM HAWA (1973),GARM HAWA,1973
GARMA GARAM (1957),GARMA GARAM,1957
GATEWAY OF INDIA (1957),GATEWAY OF INDIA,1957
GAUHAR (1953),GAUHAR,1953
GAUNA (1950),GAUNA,1950
GAURAV (1947),GAURAV,1947
GAURI (1943),GAURI,1943
GAURI (1968),GAURI,1968
GAURI POOJA (1956),GAURI POOJA,1956
GAURI SHANKAR (1958),GAURI SHANKAR,1958
GAUTAM GOVINDA (1979),GAUTAM GOVINDA,1979
GAWAAHI (1989),GAWAAHI,1989
GAWAIYA (1954),GAWAIYA,1954
GAYATRI MAHIMA (1977),GAYATRI MAHIMA,1977
GAZAB TAMAASHA (1992),GAZAB TAMAASHA,1992
GEET (1944),GEET,1944
GEET (1970),GEET,1970
GEET (1992),GEET,1992
GEET GATA CHAL (1975),GEET GATA CHAL,1975
GEET GAYA PATTHARON NE (1964),GEET GAYA PATTHARON NE,1964
GEET GOVIND (1947),GEET GOVIND,1947
GEET MILAN KE GAATE RAHENGE (1992),GEET MILAN KE GAATE RAHENGE,1992
GEETA (1940),GEETA,1940
GEETA KI SAUGANDH (1988),GEETA KI SAUGANDH,1988
GEETA MERA NAAM (1974),GEETA MERA NAAM,1974
GEETANJALI (1993),GEETANJALI,1993
GEHRA DAAG (1963),GEHRA DAAG,1963
GEHRA RAAZ (1971),GEHRA RAAZ,1971
GEHRA ZAKHM (1981),GEHRA ZAKHM,1981
GEHRAEE (1954),GEHRAEE,1954
GEHRAYEE (1981),GEHRAYEE,1981
GEHRI CHAAL (1973),GEHRI CHAAL,1973
GENTLEMAN (1989),GENTLEMAN,1989
GENTLEMAN DAKU (1960),GENTLEMAN DAKU,1960
GHABRAHAT (1989),GHABRAHAT,1989
GHAMAND (1955),GHAMAND,1955
GHAMANDEE (1981),GHAMANDEE,1981
GHAR (1978),GHAR,1978
GHAR AKHIR GHAR HAI (1988),GHAR AKHIR GHAR HAI,1988
GHAR AYA MERA PARDESI (1993),GHAR AYA MERA PARDESI,1993
GHAR BASA KE DEKHO (1963),GHAR BASA KE DEKHO,1963
GHAR BAZAR (1998),GHAR BAZAR,1998
GHAR DWAR (1985),GHAR DWAR,1985
GHAR EK MANDIR (1984),GHAR EK MANDIR,1984
GHAR GHAR KI KAHANI (1947),GHAR GHAR KI KAHANI,1947
GHAR GHAR KI KAHANI (1970),GHAR GHAR KI KAHANI,1970
GHAR GHAR KI KAHANI (1988),GHAR GHAR KI KAHANI,1988
GHAR GHAR Kl BAAT (1959),GHAR GHAR Kl BAAT,1959
GHAR GHAR MEIN DIWALI (1955),GHAR GHAR MEIN DIWALI,1955
GHAR GHAR MEN DIWALI (1955),GHAR GHAR MEN DIWALI,1955
GHAR GHRIHASTI (1958),GHAR GHRIHASTI,1958
GHAR HOTO AISA (1990),GHAR HOTO AISA,1990
GHAR JAMAI (1935),GHAR JAMAI,1935
GHAR JAMAI (1992),GHAR JAMAI,1992
GHAR KA CHIRAAG (1967),GHAR KA CHIRAAG,1967
GHAR KA CHIRAAG (1989),GHAR KA CHIRAAG,1989
GHAR KA KANOON (1995),GHAR KA KANOON,1995
GHAR KA SUKH (1987),GHAR KA SUKH,1987
GHAR KI BAHU (1947),GHAR KI BAHU,1947
GHAR KI IZZAT (1948),GHAR KI IZZAT,1948
GHAR KI IZZAT (1994),GHAR KI IZZAT,1994
GHAR KI LAAJ (1960),GHAR KI LAAJ,1960
GHAR KI LAAJ (1979),GHAR KI LAAJ,1979
GHAR MEIN RAM GALI MEIN SHYAM (1988),GHAR MEIN RAM GALI MEIN SHYAM,1988
GHAR PRIVAR (1991),GHAR PRIVAR,1991
GHAR SANSAR (1942),GHAR SANSAR,1942
GHAR SANSAR (1958),GHAR SANSAR,1958
GHAR SANSAR (1986),GHAR SANSAR,1986
GHARANA (1949),GHARANA,1949
GHARANA (1961),GHARANA,1961
GHARANA (1989),GHARANA,1989
GHARBAAR (1953),GHARBAAR,1953
GHARONDA (1977),GHARONDA,1977
GHARWALI BAHARWALI (1988),GHARWALI BAHARWALI,1988
GHARWALI BAHARWALI (1998),GHARWALI BAHARWALI,1998
GHATAK (1997),GHATAK,1997
GHATNA (1974),GHATNA,1974
GHAYAL (1951),GHAYAL,1951
GHAYAL (1990),GHAYAL,1990
GHAYAL SHERNI (1988),GHAYAL SHERNI,1988
GHAZAB (1951),GHAZAB,1951
GHAZAB (1982),GHAZAB,1982
GHAZAL (1964),GHAZAL,1964
GHULAM (1998),GHULAM,1998
GHULAM-E-MUSTAFA (1997),GHULAM-E-MUSTAFA,1997
GHUNGHAT (1960),GHUNGHAT,1960
GHUNGHAT (1988),GHUNGHAT,1988
GHUNGHAT (1997),GHUNGHAT,1997
GHUNGHAT WALI (1938),GHUNGHAT WALI,1938
GHUNGROO (1952),GHUNGROO,1952
GHUNGROO (1983),GHUNGROO,1983
GHUNGROO KI AWAZ (1981),GHUNGROO KI AWAZ,1981
GIDDH (1984),GIDDH,1984
GINNY AUR JOHNY (1976),GINNY AUR JOHNY,1976
GIRAFTAAR (1985),GIRAFTAAR,1985
GIRAFTAARI (1992),GIRAFTAARI,1992
GIRDHAR GOPAL KI MIRA(1949),GIRDHAR GOPAL KI MIRA,1949
GIRL FRIEND (1960),GIRL FRIEND,1960
GIRLS HOSTEL (1962),GIRLS HOSTEL,1962
GIRLS SCHOOL (1949),GIRLS SCHOOL,1949
GOD AND GUN (1995),GOD AND GUN,1995
GODAAN (1963),GODAAN,1963
GODAN (1983),GODAN,1983
GODHULI (1979),GODHULI,1979
Godmother (1999),Godmother,1999
GOKUL KA CHOR (1959),GOKUL KA CHOR,1959
GOKUL KA RAJA (1954),GOKUL KA RAJA,1954
GOKUL KA RAJA (1954),GOKUL KA RAJA,1954
GOLA BAROOD (1989),GOLA BAROOD,1989
GOLD MEDAL (1984),GOLD MEDAL,1984
GOLDEN EYES SECRET AGENT 007 (1968),GOLDEN EYES SECRET AGENT 007,1968
GOLKUNDA KA QAIDI(1954),GOLKUNDA KA QAIDI,1954
GOLMAAL (1979),GOLMAAL,1979
GOMTI KE KINARE (1972),GOMTI KE KINARE,1972
GOONJ (1952),GOONJ,1952
GOONJ (1974),GOONJ,1974
GOONJ (1989),GOONJ,1989
GOONJ UTHI SHAHNAI (1959),GOONJ UTHI SHAHNAI,1959
GOPAL KRISHNA (1965),GOPAL KRISHNA,1965
GOPAL KRISHNA (1979),GOPAL KRISHNA,1979
GOPALA (1994),GOPALA,1994
GOPI (1970),GOPI,1970
GOPI CHAND (1958),GOPI CHAND,1958
GOPI KISHEN (1994),GOPI KISHEN,1994
GOPICHAND JASOOS (1982),GOPICHAND JASOOS,1982
GOPINATH (1948),GOPINATH,1948
GORA (1987),GORA,1987
GORA AUR KALA (1972),GORA AUR KALA,1972
GORI (1992),GORI,1992
GORILLA (1953),GORILLA,1953
GRADUATE (1936),GRADUATE,1936
GRAH LAXMI (1934),GRAH LAXMI,1934
GRAH LAXMI (1949),GRAH LAXMI,1949
GRAH LAXMI (1959),GRAH LAXMI,1959
GRAH PRAVESH (1980),GRAH PRAVESH,1980
GRAHAN (1973),GRAHAN,1973
GRAHASTHI (1963),GRAHASTHI,1963
GRAHASTHI (1985),GRAHASTHI,1985
GRAMOPHONE SINGER (1938),GRAMOPHONE SINGER,1938
GREAT ROBBERY (1996),GREAT ROBBERY,1996
GREAT SHOW OF INDIA (1958),GREAT SHOW OF INDIA,1958
GUDDI (1971),GUDDI,1971
GUDDU (1995),GUDDU,1995
GUDGUDEE (1997),GUDGUDEE,1997
GUDIA (1947),GUDIA,1947
GUEST HOUSE (1959),GUEST HOUSE,1959
GUEST HOUSE (1981),GUEST HOUSE,1981
GUIDE (1965),GUIDE,1965
GUL SANOBAR (1934),GUL SANOBAR,1934
GUL SANOVAR (1953),GUL SANOVAR,1953
GULAM BEGUM BADSHAAH(1956),GULAM BEGUM BADSHAAH,1956
GULAM BEGUM BADSHAH (1973),GULAM BEGUM BADSHAH,1973
GULAMI (1985),GULAMI,1985
GULAMI KI ZANJEEREN (1987),GULAMI KI ZANJEEREN,1987
GULBADAN (1937),GULBADAN,1937
GULBAHAR (1954),GULBAHAR,1954
GUL-E-BAKAWALI (1956),GUL-E-BAKAWALI,1956
GUL-E-BAKAWALI (1963),GUL-E-BAKAWALI,1963
GULNAR (1950),GULNAR,1950
GUMASTA (1951),GUMASTA,1951
GUMNAAM (1965),GUMNAAM,1965
GUMNAM HAI KOI (1983),GUMNAM HAI KOI,1983
GUMRAH (1963),GUMRAH,1963
GUMRAH (1977),GUMRAH,1977
GUMRAH (1993),GUMRAH,1993
GUMSUM (1982),GUMSUM,1982
GUNAH (1953),GUNAH,1953
GUNAH (1993),GUNAH,1993
GUNAH AUR KANOON (1970),GUNAH AUR KANOON,1970
GUNAHON KA DEVTA (1967),GUNAHON KA DEVTA,1967
GUNAHON KA DEVTA (1990),GUNAHON KA DEVTA,1990
GUNAHON KA FAISLA (1988),GUNAHON KA FAISLA,1988
GUNAHON KE RAASTE (1970),GUNAHON KE RAASTE,1970
GUNDA (1969),GUNDA,1969
GUNDA GANG (1992),GUNDA GANG,1992
GUNDA GARDI (1997),GUNDA GARDI,1997
GUNDA RAJ (1995),GUNDA RAJ,1995
GUNEHGAR (1967),GUNEHGAR,1967
GUNEHGAR (1981),GUNEHGAR,1981
GUNEHGAR (1995),GUNEHGAR,1995
GUNEHGAR (1995),GUNEHGAR,1995
GUNEHGHAR (1953),GUNEHGHAR,1953
GUNJAN (1948),GUNJAN,1948
GUPT (1997),GUPT,1997
GUPT GYAN (1974),GUPT GYAN,1974
GUPT SHASTRA (1978),GUPT SHASTRA,1978
GURU (1989),GURU,1989
GURU DAKSHINA (1989),GURU DAKSHINA,1989
GURU GHANTAL (1956),GURU GHANTAL,1956
GURU HO JA SHURU (1979),GURU HO JA SHURU,1979
GURU SULEMAN CHELA PAHELWAN (1981),GURU SULEMAN CHELA PAHELWAN,1981
GURUDEV (1993),GURUDEV,1993
GUSTAKHI MAAF (1969),GUSTAKHI MAAF,1969
GUZARA (1954),GUZARA,1954
GYAANIJI (1977),GYAANIJI,1977
GYARA HAZAR LADKIYAN (1962),GYARA HAZAR LADKIYAN,1962
GYPSY (1957),GYPSY,1957
HA HA HE HE HO HO (1955),HA HA HE HE HO HO,1955
HAADSA (1983),HAADSA,1983
HAARJEET (1954),HAARJEET,1954
HAARJEET (1972),HAARJEET,1972
HAARJEET (1990),HAARJEET,1990
HAATH KI SAFAI (1974),HAATH KI SAFAI,1974
HAATHI KE DAANT (1973),HAATHI KE DAANT,1973
HAATHI MERE SAATHI (1971),HAATHI MERE SAATHI,1971
HABARI (1979),HABARI,1979
HAD KAR DI AAPNE (2000),HAD KAR DI AAPNE,2000
HAFTA VASULI (1998),HAFTA VASULI,1998
HAFTABANDH (1991),HAFTABANDH,1991
HAHAKAR (1996),HAHAKAR,1996
HAIRAAN (1993),HAIRAAN,1993
HAISIYAT (1984),HAISIYAT,1984
HAIWAN (1940),HAIWAN,1940
HAIWAN (1977),HAIWAN,1977
HAKUMAT (1954),HAKUMAT,1954
HAL AUR BANDOOK (1989),HAL AUR BANDOOK,1989
HALAAT (1990),HALAAT,1990
HALAKU (1956),HALAKU,1956
